Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Return_Probability,Risk_Level
0,0,0,216,601,1,411.59,3,0,1,387.0,58,1,50,1,1,45.27,0.499036751897809,Medium
1,1,1,281,310,0,288.88,3,3,1,31.0,68,0,84,0,0,47.79,0.5529094533490544,Medium
2,2,2,125,310,4,390.03,5,3,0,31.0,22,0,24,1,1,26.64,0.5078831796347679,Medium
3,3,3,606,310,4,401.09,3,3,0,31.0,40,1,95,3,1,15.37,0.47381255806704786,Medium
4,4,4,15,310,0,110.09,4,3,0,31.0,34,0,79,2,2,16.37,0.5160057689378558,Medium
5,5,5,409,628,2,252.12,1,1,1,221.0,46,0,42,1,1,47.61,0.5019011570539655,Medium
6,6,6,148,212,1,382.89,2,3,1,66.0,25,1,46,0,0,28.49,0.5356942220738019,Medium
7,7,7,39,576,2,306.39,3,2,1,539.0,67,0,33,0,0,38.91,0.5055715589959071,Medium
8,8,8,724,631,3,302.4,5,1,1,-91.0,54,1,80,1,2,18.5,0.46414829266409374,Medium
9,9,9,68,383,1,294.94,3,2,1,317.0,44,1,81,0,2,45.21,0.5493795797499637,Medium
10,10,10,511,383,4,119.0,2,2,0,317.0,70,0,36,0,1,8.72,0.4616102909230509,Medium
11,11,11,403,383,3,480.48,4,2,0,317.0,54,1,15,2,1,0.27,0.43752700202291894,Medium
12,12,12,523,383,4,216.41,3,2,0,317.0,66,1,9,3,2,30.26,0.46194110222250134,Medium
13,13,13,202,383,2,198.78,2,2,0,317.0,51,1,84,3,1,36.58,0.5030615159173949,Medium
14,14,14,609,383,2,146.37,4,2,0,317.0,45,1,89,3,1,28.23,0.5015185851113536,Medium
15,15,15,640,335,2,370.08,2,3,1,-303.0,24,0,20,0,2,23.99,0.5052433754492602,Medium
16,16,16,494,335,1,311.08,1,3,0,-303.0,52,0,75,3,2,6.66,0.45723763461061623,Medium
17,17,17,33,151,2,400.12,1,1,1,120.0,33,1,27,3,2,18.25,0.4712231559040193,Medium
18,18,18,645,76,0,358.31,1,0,1,-569.0,51,0,38,3,2,11.84,0.4532323637833294,Medium
19,19,19,552,484,2,227.94,5,0,1,-66.0,50,0,61,1,0,43.86,0.5083598409321116,Medium
20,20,20,183,484,1,6.14,1,0,0,-66.0,31,0,68,0,1,47.47,0.5335868279720554,Medium
21,21,21,423,5,0,85.69,2,0,1,-418.0,30,0,19,1,2,24.58,0.5118990979963788,Medium
22,22,22,559,253,0,227.2,5,3,1,-304.0,65,0,90,2,1,27.94,0.5157201126506789,Medium
23,23,23,547,386,2,57.14,2,3,1,-159.0,41,0,21,2,2,43.06,0.5139948849243536,Medium
24,24,24,573,386,4,274.29,2,3,0,-159.0,18,1,83,2,0,2.49,0.46605170900790016,Medium
25,25,25,691,386,2,371.15,5,3,0,-159.0,58,0,82,2,2,18.68,0.48432439209088457,Medium
26,26,26,63,386,4,232.97,5,3,0,-159.0,21,0,98,1,0,9.85,0.49764740986164285,Medium
27,27,27,511,386,3,455.82,1,3,0,-159.0,52,0,1,3,0,11.96,0.43419698275480434,Medium
28,28,28,500,611,4,106.6,5,1,1,113.0,53,1,66,0,2,18.42,0.47522469079887386,Medium
29,29,29,461,611,0,317.9,5,1,0,113.0,59,0,26,2,2,18.05,0.4611120882258036,Medium
30,30,30,121,611,4,413.34,3,1,0,113.0,49,1,51,0,2,38.29,0.4889161452710748,Medium
31,31,31,342,611,2,481.73,5,1,0,113.0,28,0,77,0,1,20.03,0.49333213739867526,Medium
32,32,32,546,611,4,308.89,4,1,0,113.0,68,0,42,1,0,35.45,0.4697786789242139,Medium
33,33,33,398,227,3,335.28,4,3,1,-169.0,18,1,13,1,1,25.37,0.5106510755836866,Medium
34,34,34,249,227,4,290.49,3,3,0,-169.0,34,1,37,3,1,8.51,0.4606541893050114,Medium
35,35,35,569,227,1,331.26,2,3,0,-169.0,46,0,95,3,2,41.02,0.5232906590916606,Medium
36,36,36,371,238,2,115.82,5,1,1,-131.0,54,0,38,0,0,23.76,0.5057482493928188,Medium
37,37,37,41,493,1,246.15,1,3,1,454.0,31,0,59,2,2,23.63,0.5017138459071456,Medium
38,38,38,47,493,4,43.82,2,3,0,454.0,28,0,3,0,1,14.6,0.4886890960761087,Medium
39,39,39,665,655,4,266.34,4,3,1,-8.0,44,0,57,3,2,30.88,0.47018779844509057,Medium
40,40,40,79,655,4,351.52,1,3,0,-8.0,46,1,37,3,1,11.58,0.4289203887018004,Medium
41,41,41,367,14,0,334.27,4,0,1,-353.0,69,1,80,3,0,43.44,0.5141485170518134,Medium
42,42,42,405,14,0,240.65,2,0,0,-353.0,33,0,58,2,2,12.93,0.49035304998910667,Medium
43,43,43,508,519,1,105.7,3,3,1,13.0,44,1,36,0,1,42.07,0.5327956522531893,Medium
44,44,44,648,519,3,188.76,3,3,0,13.0,66,0,4,2,2,12.68,0.44422729485283263,Medium
45,45,45,318,35,4,294.18,2,0,1,-283.0,69,1,88,2,1,32.7,0.4843369589782805,Medium
46,46,46,141,431,3,97.31,2,0,1,292.0,53,0,44,1,1,10.96,0.45712751377931,Medium
